agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,DateTime,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
USGS,2091814,60,85489,7,1,7/1/2015,1997,2019,23,2013,9470,2008,472,2070,479,550,840,855,1290,1820,2560,6320,9060
USGS,2091814,60,85489,7,2,7/2/2015,1997,2019,23,2013,10200,2008,484,2110,504,617,744,829,1370,1770,2300,6070,9560
USGS,2091814,60,85489,7,3,7/3/2015,1997,2019,23,2013,11300,2008,452,2170,472,593,746,760,1140,2600,3030,5780,10300
USGS,2091814,60,85489,7,4,7/4/2015,1997,2019,23,2013,12200,2011,410,2270,431,555,702,724,1130,3350,3880,5250,10900
USGS,2091814,60,85489,7,5,7/5/2015,1997,2019,23,2013,12700,2011,490,2330,512,603,659,692,1040,3430,4020,5660,11300
USGS,2091814,60,85489,7,6,7/6/2015,1997,2019,23,2013,13300,2011,438,2280,458,554,616,622,1090,3590,3650,5970,11900
USGS,2091814,60,85489,7,7,7/7/2015,1997,2019,23,2013,13100,2010,467,2220,479,540,605,672,1090,3090,3500,6150,11700
USGS,2091814,60,85489,7,8,7/8/2015,1997,2019,23,2013,13500,2010,411,2260,417,493,656,769,1110,2570,3420,6400,12100
USGS,2091814,60,85489,7,9,7/9/2015,1997,2019,23,2013,14000,2010,383,2330,401,495,669,702,1150,2620,3310,6530,12600
USGS,2091814,60,85489,7,10,7/10/2015,1997,2019,23,2013,14700,2002,457,2430,460,537,741,773,1140,2710,3340,6450,13200
USGS,2091814,60,85489,7,11,7/11/2015,1997,2019,23,2013,15100,1999,512,2530,529,621,769,863,1330,2650,3370,6650,13600
USGS,2091814,60,85489,7,12,7/12/2015,1997,2019,23,2013,17400,1999,534,2660,551,631,800,953,1360,3100,3420,6640,15400
USGS,2091814,60,85489,7,13,7/13/2015,1997,2019,23,2013,17400,1999,610,2660,615,637,888,968,1340,2790,3520,6360,15300
USGS,2091814,60,85489,7,14,7/14/2015,1997,2019,23,2013,16300,2002,603,2620,617,700,984,1020,1290,3770,3840,6130,14400
USGS,2091814,60,85489,7,15,7/15/2015,1997,2019,23,2013,15100,2009,709,2580,735,859,929,940,1340,3690,3840,6170,13500
USGS,2091814,60,85489,7,16,7/16/2015,1997,2019,23,2013,14600,2009,708,2550,717,753,784,940,1270,3400,3700,6230,13200
USGS,2091814,60,85489,7,17,7/17/2015,1997,2019,23,2013,15000,2010,562,2500,578,656,766,972,1260,2680,3820,6460,13500
USGS,2091814,60,85489,7,18,7/18/2015,1997,2019,23,2013,15000,2010,449,2420,473,594,811,861,1250,1900,3600,6380,13500
USGS,2091814,60,85489,7,19,7/19/2015,1997,2019,23,2013,15300,2010,322,2350,372,593,800,923,1250,1820,3560,6070,13700
USGS,2091814,60,85489,7,20,7/20/2015,1997,2019,23,2013,15100,2010,422,2280,434,547,795,876,1210,1830,2660,5940,13400
