agency_cd,site_no,datetime,85489_00060_00003,85489_00060_00003_cd
USGS,2091814,7/1/2015,1560,A
USGS,2091814,7/2/2015,1660,A
USGS,2091814,7/3/2015,1460,A
USGS,2091814,7/4/2015,1220,A
USGS,2091814,7/5/2015,1180,A
USGS,2091814,7/6/2015,1190,A
USGS,2091814,7/7/2015,1200,A
USGS,2091814,7/8/2015,1180,A
USGS,2091814,7/9/2015,1150,A
USGS,2091814,7/10/2015,1140,A
USGS,2091814,7/11/2015,1040,A
USGS,2091814,7/12/2015,959,A
USGS,2091814,7/13/2015,968,A
USGS,2091814,7/14/2015,962,A
USGS,2091814,7/15/2015,940,A:e
USGS,2091814,7/16/2015,1010,A
USGS,2091814,7/17/2015,1360,A
USGS,2091814,7/18/2015,1500,A
USGS,2091814,7/19/2015,1330,A
USGS,2091814,7/20/2015,1460,A
USGS,2091814,7/21/2015,1380,A
USGS,2091814,7/22/2015,1030,A
USGS,2091814,7/23/2015,1280,A
USGS,2091814,7/24/2015,3490,A
USGS,2091814,7/25/2015,4130,A
USGS,2091814,7/26/2015,3890,A
USGS,2091814,7/27/2015,3750,A
USGS,2091814,7/28/2015,3210,A
USGS,2091814,7/29/2015,2250,A
USGS,2091814,7/30/2015,1460,A
USGS,2091814,7/31/2015,1050,A
USGS,2091814,8/1/2015,883,A
USGS,2091814,8/2/2015,761,A
USGS,2091814,8/3/2015,694,A
USGS,2091814,8/4/2015,648,A
USGS,2091814,8/5/2015,617,A
USGS,2091814,8/6/2015,613,A
USGS,2091814,8/7/2015,600,A
USGS,2091814,8/8/2015,631,A
USGS,2091814,8/9/2015,677,A
USGS,2091814,8/10/2015,718,A
USGS,2091814,8/11/2015,727,A
USGS,2091814,8/12/2015,873,A
USGS,2091814,8/13/2015,845,A
USGS,2091814,8/14/2015,750,A
USGS,2091814,8/15/2015,699,A
USGS,2091814,8/16/2015,762,A
USGS,2091814,8/17/2015,714,A
USGS,2091814,8/18/2015,624,A
USGS,2091814,8/19/2015,586,A
USGS,2091814,8/20/2015,589,A
USGS,2091814,8/21/2015,602,A
USGS,2091814,8/22/2015,619,A
USGS,2091814,8/23/2015,618,A
USGS,2091814,8/24/2015,646,A
USGS,2091814,8/25/2015,634,A
USGS,2091814,8/26/2015,581,A
USGS,2091814,8/27/2015,567,A
USGS,2091814,8/28/2015,676,A
USGS,2091814,8/29/2015,777,A
USGS,2091814,8/30/2015,709,A
USGS,2091814,8/31/2015,616,A
USGS,2091814,9/1/2015,671,A
USGS,2091814,9/2/2015,799,A
USGS,2091814,9/3/2015,860,A
USGS,2091814,9/4/2015,1010,A
USGS,2091814,9/5/2015,1180,A
USGS,2091814,9/6/2015,1130,A
USGS,2091814,9/7/2015,1070,A
USGS,2091814,9/8/2015,1110,A
USGS,2091814,9/9/2015,1120,A
USGS,2091814,9/10/2015,1140,A
USGS,2091814,9/11/2015,1060,A
USGS,2091814,9/12/2015,1220,A
USGS,2091814,9/13/2015,1150,A
USGS,2091814,9/14/2015,1010,A
USGS,2091814,9/15/2015,875,A
USGS,2091814,9/16/2015,769,A
USGS,2091814,9/17/2015,696,A
USGS,2091814,9/18/2015,634,A
USGS,2091814,9/19/2015,612,A
USGS,2091814,9/20/2015,565,A
USGS,2091814,9/21/2015,535,A
USGS,2091814,9/22/2015,524,A
USGS,2091814,9/23/2015,541,A
USGS,2091814,9/24/2015,555,A
USGS,2091814,9/25/2015,606,A
USGS,2091814,9/26/2015,673,A
USGS,2091814,9/27/2015,891,A
USGS,2091814,9/28/2015,863,A
USGS,2091814,9/29/2015,1290,A
USGS,2091814,9/30/2015,1720,A
USGS,2091814,10/1/2015,1760,A
USGS,2091814,10/2/2015,2860,A
USGS,2091814,10/3/2015,5160,A
USGS,2091814,10/4/2015,7270,A
USGS,2091814,10/5/2015,8810,A
USGS,2091814,10/6/2015,9730,A:e
USGS,2091814,10/7/2015,9930,A:e
USGS,2091814,10/8/2015,10000,A:e
USGS,2091814,10/9/2015,9830,A
USGS,2091814,10/10/2015,9410,A
USGS,2091814,10/11/2015,8770,A
USGS,2091814,10/12/2015,7470,A
USGS,2091814,10/13/2015,5720,A
USGS,2091814,10/14/2015,4400,A
USGS,2091814,10/15/2015,3510,A
USGS,2091814,10/16/2015,2760,A
USGS,2091814,10/17/2015,2200,A
USGS,2091814,10/18/2015,1820,A
USGS,2091814,10/19/2015,1570,A
USGS,2091814,10/20/2015,1410,A
USGS,2091814,10/21/2015,1280,A
USGS,2091814,10/22/2015,1190,A
USGS,2091814,10/23/2015,1120,A
USGS,2091814,10/24/2015,1070,A
USGS,2091814,10/25/2015,1040,A
USGS,2091814,10/26/2015,948,A
USGS,2091814,10/27/2015,957,A
USGS,2091814,10/28/2015,979,A
USGS,2091814,10/29/2015,1000,A
USGS,2091814,10/30/2015,1020,A
USGS,2091814,10/31/2015,1090,A
USGS,2091814,11/1/2015,1260,A
USGS,2091814,11/2/2015,1830,A
USGS,2091814,11/3/2015,3450,A
USGS,2091814,11/4/2015,4880,A
USGS,2091814,11/5/2015,6060,A
USGS,2091814,11/6/2015,7140,A
USGS,2091814,11/7/2015,8050,A
USGS,2091814,11/8/2015,8780,A
USGS,2091814,11/9/2015,9390,A
USGS,2091814,11/10/2015,10600,A
USGS,2091814,11/11/2015,11800,A
USGS,2091814,11/12/2015,11400,A
USGS,2091814,11/13/2015,10800,A
USGS,2091814,11/14/2015,10100,A
USGS,2091814,11/15/2015,9830,A
USGS,2091814,11/16/2015,10000,A
USGS,2091814,11/17/2015,10200,A
USGS,2091814,11/18/2015,9890,A
USGS,2091814,11/19/2015,9760,A
USGS,2091814,11/20/2015,9910,A
USGS,2091814,11/21/2015,10100,A
USGS,2091814,11/22/2015,10200,A
USGS,2091814,11/23/2015,10300,A
USGS,2091814,11/24/2015,10400,A
USGS,2091814,11/25/2015,10700,A
USGS,2091814,11/26/2015,10900,A
USGS,2091814,11/27/2015,10400,A
USGS,2091814,11/28/2015,9960,A
USGS,2091814,11/29/2015,9420,A
USGS,2091814,11/30/2015,8780,A
USGS,2091814,12/1/2015,7490,A
USGS,2091814,12/2/2015,5790,A
USGS,2091814,12/3/2015,4830,A
USGS,2091814,12/4/2015,4630,A
USGS,2091814,12/5/2015,4670,A
USGS,2091814,12/6/2015,4730,A
USGS,2091814,12/7/2015,4970,A
USGS,2091814,12/8/2015,5510,A
USGS,2091814,12/9/2015,5780,A
USGS,2091814,12/10/2015,5880,A
USGS,2091814,12/11/2015,5850,A
USGS,2091814,12/12/2015,5670,A
USGS,2091814,12/13/2015,5250,A
USGS,2091814,12/14/2015,4670,A
USGS,2091814,12/15/2015,4320,A
USGS,2091814,12/16/2015,3910,A
USGS,2091814,12/17/2015,3650,A
USGS,2091814,12/18/2015,3520,A
USGS,2091814,12/19/2015,3520,A
USGS,2091814,12/20/2015,3820,A
USGS,2091814,12/21/2015,4450,A
USGS,2091814,12/22/2015,5100,A
USGS,2091814,12/23/2015,5780,A
USGS,2091814,12/24/2015,6720,A
USGS,2091814,12/25/2015,8240,A
USGS,2091814,12/26/2015,10200,A
USGS,2091814,12/27/2015,12300,A
USGS,2091814,12/28/2015,13300,A
USGS,2091814,12/29/2015,14200,A
USGS,2091814,12/30/2015,14900,A
USGS,2091814,12/31/2015,16300,A
USGS,2091814,1/1/2016,17400,A
USGS,2091814,1/2/2016,17700,A
USGS,2091814,1/3/2016,17000,A
USGS,2091814,1/4/2016,15800,A
USGS,2091814,1/5/2016,15000,A
USGS,2091814,1/6/2016,14700,A
USGS,2091814,1/7/2016,14800,A
USGS,2091814,1/8/2016,14800,A
USGS,2091814,1/9/2016,14500,A
USGS,2091814,1/10/2016,13900,A:e
USGS,2091814,1/11/2016,13200,A
USGS,2091814,1/12/2016,12700,A
USGS,2091814,1/13/2016,11900,A
USGS,2091814,1/14/2016,11500,A
USGS,2091814,1/15/2016,11300,A
USGS,2091814,1/16/2016,11100,A
USGS,2091814,1/17/2016,11200,A
USGS,2091814,1/18/2016,11100,A
USGS,2091814,1/19/2016,10900,A
USGS,2091814,1/20/2016,10900,A
USGS,2091814,1/21/2016,10800,A
USGS,2091814,1/22/2016,10500,A
USGS,2091814,1/23/2016,11300,A
USGS,2091814,1/24/2016,12500,A
USGS,2091814,1/25/2016,12900,A
USGS,2091814,1/26/2016,12900,A
USGS,2091814,1/27/2016,11900,A
USGS,2091814,1/28/2016,11100,A
USGS,2091814,1/29/2016,10400,A
USGS,2091814,1/30/2016,9370,A
USGS,2091814,1/31/2016,8420,A
USGS,2091814,2/1/2016,7490,A
USGS,2091814,2/2/2016,6920,A
USGS,2091814,2/3/2016,6800,A
USGS,2091814,2/4/2016,8080,A
USGS,2091814,2/5/2016,11400,A
USGS,2091814,2/6/2016,15100,A
USGS,2091814,2/7/2016,16800,A
USGS,2091814,2/8/2016,17600,A
USGS,2091814,2/9/2016,18800,A
USGS,2091814,2/10/2016,19700,A
USGS,2091814,2/11/2016,20200,A
USGS,2091814,2/12/2016,20100,A
USGS,2091814,2/13/2016,19000,A
USGS,2091814,2/14/2016,17900,A
USGS,2091814,2/15/2016,17000,A
USGS,2091814,2/16/2016,15800,A
USGS,2091814,2/17/2016,14900,A
USGS,2091814,2/18/2016,13200,A
USGS,2091814,2/19/2016,12000,A
USGS,2091814,2/20/2016,11200,A
USGS,2091814,2/21/2016,10400,A
USGS,2091814,2/22/2016,10300,A
USGS,2091814,2/23/2016,10400,A
USGS,2091814,2/24/2016,10500,A
USGS,2091814,2/25/2016,10800,A
USGS,2091814,2/26/2016,11400,A
USGS,2091814,2/27/2016,12300,A
USGS,2091814,2/28/2016,12300,A
USGS,2091814,2/29/2016,11900,A
USGS,2091814,3/1/2016,12200,A
USGS,2091814,3/2/2016,12900,A
USGS,2091814,3/3/2016,12900,A
USGS,2091814,3/4/2016,12400,A
USGS,2091814,3/5/2016,11400,A
USGS,2091814,3/6/2016,10200,A
USGS,2091814,3/7/2016,9260,A
USGS,2091814,3/8/2016,8040,A
USGS,2091814,3/9/2016,6610,A
USGS,2091814,3/10/2016,5570,A
USGS,2091814,3/11/2016,4970,A
USGS,2091814,3/12/2016,4580,A
USGS,2091814,3/13/2016,4250,A
USGS,2091814,3/14/2016,4010,A
USGS,2091814,3/15/2016,3810,A
USGS,2091814,3/16/2016,3790,A
USGS,2091814,3/17/2016,3930,A
USGS,2091814,3/18/2016,4030,A
USGS,2091814,3/19/2016,4300,A
USGS,2091814,3/20/2016,4600,A
USGS,2091814,3/21/2016,4800,A
USGS,2091814,3/22/2016,4900,A
USGS,2091814,3/23/2016,4720,A
USGS,2091814,3/24/2016,4400,A
USGS,2091814,3/25/2016,4180,A
USGS,2091814,3/26/2016,4010,A
USGS,2091814,3/27/2016,3900,A
USGS,2091814,3/28/2016,4110,A
USGS,2091814,3/29/2016,4290,A
USGS,2091814,3/30/2016,4200,A
USGS,2091814,3/31/2016,4220,A
USGS,2091814,4/1/2016,4290,A
