Time,Season,Temp,Sal,DO,Turb,Chla,Flushing_Time,Strat_Index,Avg_Wind,Max_Wind,Wind_Dir,Discharge,DOC,DOC_mg,DON,DON_mg,DOC_DON,a254_DOM,SUVA_DOM,HIX_DOM,BIX_DOM,Max_FL_DOM,B_DOM,T_DOM,A_DOM,C_DOM,M_DOM,N_DOM,POC,POC_mg,PN,PN_mg,POCtoPN,a254_POM,SUVA_POC,HIX_POM,BIX_POM,Max_FL_POM,B_POM,T_POM,A_POM,C_POM,M_POM,N_POM
20-Jul-15,Summer,29.70636364,10.58454545,5.104090909,4.195454545,14.53786364,29.53466354,1.135629512,3.362451691,10.3,210,47.57495992,545.073534,6.546878217,293.1427273,0.293142727,26.14477878,41.19229545,2.713722325,10.40566736,0.645033202,31.33723746,2.048819059,3.086842421,17.03877465,8.876172561,7.993366504,5.849959031,1268.593182,1.268593182,239.1522727,0.239152273,6.307107468,0.888486932,0.328013139,8.826158816,0.59962366,1.091907715,0.163172789,0.26562,0.498501014,0.280833193,0.155492266,0.233800374
3-Aug-15,Summer,29.53,8.893181818,4.535454545,4.031818182,21.45140909,35.14987692,0.838091567,2.905464427,11.8,210,84.04207366,563.1960393,6.764547628,331.6354545,0.331635455,23.79522322,46.79905364,2.950125303,10.9194652,0.614453235,32.11558075,1.78167132,2.906872783,17.12649164,9.262605726,7.914255451,5.648810754,1481.190909,1.481190909,271.8454545,0.271845455,6.832104087,1.533902682,0.488942242,6.60850114,0.493072745,1.351997408,0.365378902,0.595649025,0.586043822,0.332054356,0.222728976,0.472931227
17-Aug-15,Summer,28.45636364,9.906363636,5.283181818,3.359090909,14.88504545,41.48411551,1.002369272,2.734927536,13.4,170,28.91323115,551.9749721,6.62977139,324.6286364,0.324628636,23.72364228,43.79468545,2.828792832,9.848980661,0.657034056,30.73220179,2.059421738,2.961159137,16.4605313,8.500357857,7.723760321,5.796110859,1507.868182,1.507868182,244.9090909,0.244909091,7.309032914,1.320875182,0.429509526,5.639569626,0.529671949,1.412494127,0.239762103,0.545875404,0.636484062,0.345343824,0.232198677,0.44778723
31-Aug-15,Summer,26.74954545,10.44772727,5.506818182,3.413636364,21.44972727,47.90601038,0.841255359,2.608645205,10.3,10,26.14994922,559.7440063,6.723085259,323.1854545,0.323185455,24.14563008,43.21056091,2.756043704,9.550665463,0.65494208,33.10817692,2.110303261,3.462973095,18.04151614,9.190073941,8.519858331,6.347352745,1492.961364,1.492961364,281.325,0.281325,6.334274588,1.160293273,0.338744233,3.43948694,0.671326865,1.216058909,0.276012122,0.651504268,0.533179913,0.289479165,0.216012384,0.525648234
14-Sep-15,Fall,26.315,10.43954545,5.790909091,3.536363636,33.02959091,50.59083071,0.849756008,2.938159859,13.4,220,41.43828529,551.4782169,6.623804863,315.1409091,0.315140909,24.45139,40.78717682,2.650938873,7.991726131,0.68553395,32.11726793,2.088571866,3.085348466,17.08228917,8.988089947,8.111533165,5.966635215,1744.825,1.744825,292.225,0.292225,6.935847895,1.283189727,0.282939902,8.9248589,0.577378979,1.551934752,0.422416086,0.511338607,0.724647112,0.4084531,0.224924267,0.423532691
29-Sep-15,Fall,23.99545455,10.025,6.291818182,4.031818182,40.75636364,55.7175286,0.354759738,4.602690217,18.5,40,29.85319159,582.3227047,6.994278006,377.975,0.377975,22.61127357,45.14822136,2.790479535,8.326860427,0.660226313,32.31999374,2.009865331,3.33961058,17.18348311,9.028514941,8.037575472,6.311570523,2031.463636,2.031463636,352.1954545,0.352195455,7.880719244,1.551454333,0.487679469,6.61304419,0.505109616,3.919521165,1.107978848,2.448430288,1.091435449,0.472540899,0.41504226,1.630746224
12-Oct-15,Fall,20.68590823,6.773181541,5.529545188,3.854545295,8.393590909,37.36969293,1.280830778,4.696454451,16.5,20,275.5758145,788.3446074,9.468807079,424.5313636,0.424531364,25.75290426,74.39318091,3.313627631,13.13145679,0.565465174,50.9662395,2.035159,3.422552496,25.09519781,15.43784534,11.14734617,7.339016501,946.7,0.9467,141.7090909,0.141709091,8.151821375,1.163852455,0.691507847,8.282053871,0.644882113,1.335019764,0.170291794,0.36066509,0.597042884,0.319521276,0.23525806,0.359903371
29-Oct-15,Fall,19.23499905,7.13454518,7.605908654,3.036363556,32.54156591,40.86744617,0.504978357,3.413037074,13.4,30,92.20971491,711.7337983,8.548634652,367.3963636,0.367396364,27.13202624,65.34657818,3.294804283,11.66069759,0.592577172,47.34205328,1.999346363,3.485026467,24.22439928,14.0285394,10.84676467,7.347713062,1604.279545,1.604279545,291.0181818,0.291018182,7.339371973,1.673184333,0.60407653,8.190773706,0.400499841,2.21501854,0.404198047,0.722441366,0.97817976,0.493421415,0.2557348,0.581346976
17-Nov-15,Fall,15.82454465,5.806818008,7.553181475,3.704545341,26.88531818,17.86387583,1.521267967,3.29846972,12.9,40,284.5633206,796.6491988,9.568553527,411.8186364,0.411818636,27.22442031,77.83616591,3.46891136,14.74576321,0.551538936,52.22475904,1.782261775,3.396325205,25.73821449,16.05904923,11.30194644,7.411649874,1378.672727,1.378672727,243.7136364,0.243713636,6.936828608,2.014392227,0.870792733,10.74320621,0.45041647,2.590456248,0.367126709,0.897490682,1.094653502,0.569845938,0.308339006,0.717244285
8-Dec-15,Winter,13.05055512,4.843333135,8.688332849,2.077777677,28.22461111,16.2803212,0.940205352,3.590030742,14.4,20,342.3758545,748.8399101,8.99431616,386.0627778,0.386062778,27.15869382,73.34031444,3.526693475,16.06264207,0.542211993,48.85879332,1.482701726,2.92778247,24.05160245,14.66513913,10.43008947,6.823641709,1509.566667,1.509566667,275.8194444,0.275819444,6.526569074,1.337915056,0.452307414,9.053137077,0.515049205,2.250747486,0.324794288,1.032535591,0.864022584,0.409999677,0.26162562,0.83066728
